mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_depth,params,split0_test_f2,split1_test_f2,split2_test_f2,split3_test_f2,split4_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.32921538352966306,0.0013897853194354446,0.018717384338378905,0.00021032376270729573,100,2,4,5,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_depth': 5}",0.5326231691078562,0.5631958087753766,0.6312292358803987,0.5693235097119893,0.5656565656565656,0.5724056578264374,0.032195437395303894,1,0.4413793103448276,0.45866666666666667,0.521978021978022,0.47685834502103785,0.4745762711864407,0.474691723039399,0.02685971302354954,4,0.34334763948497854,0.35030549898167007,0.4051172707889126,0.37527593818984545,0.3741648106904232,0.369642231627166,0.021799016399244333,20,0.6177606177606177,0.6640926640926641,0.7335907335907336,0.6538461538461539,0.6486486486486487,0.6635877635877636,0.0382593103543202,1,0.7109207708779444,0.7102069950035689,0.7516059957173448,0.7337615988579586,0.7342857142857143,0.7281562149485061,0.01573606264568729,20
0.3259562015533447,0.004652283243559588,0.018442153930664062,7.484490475082335e-05,100,2,1,5,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_depth': 5}",0.5352393617021277,0.5628703094140882,0.628722700198544,0.5652759084791387,0.5615696887686062,0.5707355937125009,0.030977965326795465,2,0.44291609353507566,0.4609164420485175,0.5177111716621253,0.47592067988668557,0.47360912981455067,0.474214703389391,0.024704924856666397,5,0.344017094017094,0.35403726708074534,0.4,0.37668161434977576,0.3755656108597285,0.37006031726146876,0.019521895652158838,19,0.6216216216216216,0.6602316602316602,0.7335907335907336,0.6461538461538462,0.640926640926641,0.6605049005049005,0.038581819666554454,2,0.7109207708779444,0.7144896502498216,0.7473233404710921,0.7359029264810849,0.7364285714285714,0.7290130519017028,0.013971304858543516,19
0.6471467018127441,0.004652626060427358,0.029790878295898438,0.00019659828913475903,200,5,1,5,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_depth': 5}",0.5351170568561873,0.5548216644649934,0.6275033377837116,0.5664194200944033,0.564625850340136,0.5696974659078863,0.030967982985328164,3,0.4456824512534819,0.4559023066485753,0.521497919556172,0.4779516358463727,0.4790764790764791,0.4760221584762162,0.026101351976400837,1,0.3485838779956427,0.3514644351464435,0.4069264069264069,0.3792325056433409,0.3824884792626728,0.37373914099490135,0.021619770454333127,17,0.6177606177606177,0.6486486486486487,0.7258687258687259,0.6461538461538462,0.640926640926641,0.6558716958716959,0.03666606650522961,3,0.7159172019985724,0.7137758743754461,0.7537473233404711,0.7380442541042113,0.7421428571428571,0.7327255021923116,0.015495160601624506,17
0.650178337097168,0.005925017351533725,0.029981184005737304,0.000171753236246581,200,2,2,5,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_depth': 5}",0.5347593582887701,0.5548216644649934,0.6275033377837116,0.5671843349088453,0.563858695652174,0.5696254782196989,0.03106078173606946,4,0.44506258692628653,0.4559023066485753,0.521497919556172,0.4793152639087018,0.4776978417266187,0.4758951837532709,0.0262485054765656,3,0.34782608695652173,0.3514644351464435,0.4069264069264069,0.38095238095238093,0.38073394495412843,0.3735806509871763,0.02177097162709662,18,0.6177606177606177,0.6486486486486487,0.7258687258687259,0.6461538461538462,0.640926640926641,0.6558716958716959,0.03666606650522961,3,0.715203426124197,0.7137758743754461,0.7537473233404711,0.7394718058529621,0.7407142857142858,0.7325825430814723,0.015602945857917591,18
0.9805729866027832,0.013854746362965428,0.04218478202819824,0.0010301985571500624,300,2,2,5,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_depth': 5}",0.5321285140562249,0.5584930601454065,0.6275033377837116,0.5671843349088453,0.5593451568894953,0.5689308807567366,0.03158807224414894,5,0.4435146443514644,0.4592391304347826,0.521497919556172,0.4793152639087018,0.4760522496371553,0.47592384157765527,0.02614287845060839,2,0.3471615720524017,0.35429769392033544,0.4069264069264069,0.38095238095238093,0.3813953488372093,0.37414668053774686,0.021426850268151044,16,0.6138996138996139,0.6525096525096525,0.7258687258687259,0.6461538461538462,0.6332046332046332,0.6543272943272943,0.038128335031795066,5,0.715203426124197,0.7159172019985724,0.7537473233404711,0.7394718058529621,0.7421428571428571,0.7332965228918119,0.015257967975289733,16
0.4744771957397461,0.002362200366261921,0.02322869300842285,0.00033459084073461176,100,2,4,10,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_depth': 10}",0.48596112311015116,0.510349750178444,0.549530007230658,0.5018050541516246,0.5018050541516246,0.5098901977645005,0.02133009794271707,6,0.4411764705882353,0.4583333333333333,0.5016501650165016,0.45950413223140496,0.45723684210526316,0.46358018865494766,0.02017737076809197,6,0.38243626062322944,0.3917808219178082,0.43804034582132567,0.4028985507246377,0.3982808022922636,0.40268735627585295,0.01896499700892518,14,0.5212355212355212,0.5521235521235521,0.5868725868725869,0.5346153846153846,0.5366795366795367,0.5463053163053163,0.022527139500946893,6,0.7558886509635975,0.7587437544610992,0.7844396859386152,0.7665952890792291,0.7642857142857142,0.765990618945651,0.00998205590796496,14
0.490716552734375,0.011516457273920158,0.02343125343322754,0.000388563549541383,100,10,2,10,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_depth': 10}",0.49245147375988496,0.5096222380612973,0.5350686912509038,0.49239681390296886,0.5126353790613718,0.5084349192072853,0.015755016676860023,7,0.44625407166123776,0.45686900958466453,0.4884488448844885,0.4525790349417637,0.46710526315789475,0.4622512448460099,0.014753341264215819,7,0.38591549295774646,0.3896457765667575,0.4265129682997118,0.39882697947214074,0.4068767908309456,0.4015556016254604,0.014457437648463176,15,0.528957528957529,0.5521235521235521,0.5714285714285714,0.5230769230769231,0.5482625482625483,0.5447698247698248,0.017306506750458087,7,0.7573162027123483,0.7573162027123483,0.7787294789436117,0.7651677373304783,0.7685714285714286,0.765420210054043,0.007980982758830897,15
0.4826953411102295,0.0020337335891573395,0.023105335235595704,0.0002115236089678538,100,5,1,10,"{'clf__n_estimators': 100, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_depth': 10}",0.45687134502923976,0.4981949458483754,0.5298013245033113,0.46863468634686345,0.4912023460410557,0.48894092955376917,0.025302665718442863,8,0.4230118443316413,0.45394736842105265,0.4948453608247423,0.44173913043478263,0.4565587734241908,0.4540204954872819,0.023602907474798734,8,0.37650602409638556,0.3954154727793696,0.4458204334365325,0.4031746031746032,0.40853658536585363,0.40589062377054896,0.022724220853098356,13,0.4826254826254826,0.5328185328185329,0.555984555984556,0.48846153846153845,0.5173745173745173,0.5154529254529254,0.027401627260255967,8,0.7566024268379729,0.7630264097073519,0.7901498929336188,0.7708779443254818,0.7721428571428571,0.7705599061894566,0.011295479287805967,13
1.0733721256256104,0.008326601696452402,0.044388532638549805,0.0002686038991558568,200,10,4,20,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_depth': 20}",0.4351145038167939,0.44871794871794873,0.4776579352850539,0.43764523625096824,0.4576923076923077,0.4513655863526145,0.015431595451135783,9,0.4277673545966229,0.4335154826958106,0.4760076775431862,0.44227005870841485,0.45506692160611856,0.4469254990300306,0.017208091291232543,10,0.41605839416058393,0.4103448275862069,0.4732824427480916,0.450199203187251,0.45075757575757575,0.44012848868794185,0.023579725916396573,11,0.44015444015444016,0.4594594594594595,0.47876447876447875,0.4346153846153846,0.4594594594594595,0.4544906444906445,0.01574261721964127,9,0.7822983583154889,0.7780157030692363,0.8051391862955032,0.7965738758029979,0.7964285714285714,0.7916911389823595,0.01002373421084646,11
1.0703319549560546,0.009313243049574989,0.04428987503051758,0.0002925457328084426,200,10,4,,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_depth': None}",0.43162719633307867,0.4579863739591219,0.47031611410948343,0.43444530643910007,0.4563031709203403,0.45013563235222487,0.014803195944507422,10,0.424812030075188,0.44485294117647056,0.46923076923076923,0.4400785854616896,0.4573643410852713,0.4472677334058777,0.015139947893091555,9,0.4139194139194139,0.4245614035087719,0.4674329501915709,0.4497991967871486,0.4591439688715953,0.4429713866557002,0.0204425247789041,10,0.4362934362934363,0.4671814671814672,0.47104247104247104,0.4307692307692308,0.4555984555984556,0.4521770121770121,0.016145132832676462,11,0.7815845824411135,0.7844396859386152,0.8029978586723768,0.7965738758029979,0.8,0.7931192005710207,0.008546922923259485,10
