mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__colsample_bytree,params,split0_test_f2,split1_test_f2,split2_test_f2,split3_test_f2,split4_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.050014829635620116,0.0008361247940257567,0.009888648986816406,0.00022539467537619455,0.8,100,3,0.05,0.8,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.8}",0.5452742894910774,0.573394495412844,0.6383689839572193,0.583554376657825,0.57,0.5821184291037931,0.03081116951199764,1,0.4483695652173913,0.4672897196261682,0.5312934631432545,0.4835164835164835,0.4730290456431535,0.4806996554292902,0.02775452130848215,1,0.34591194968553457,0.35714285714285715,0.4152173913043478,0.37606837606837606,0.36853448275862066,0.37257501139194726,0.023647292772410275,23,0.637065637065637,0.6756756756756757,0.7374517374517374,0.676923076923077,0.6602316602316602,0.6774695574695574,0.033259586448070505,1,0.7102069950035689,0.715203426124197,0.7594575303354747,0.7316202712348323,0.7278571428571429,0.7288690731110431,0.017200406252089205,29
0.10099635124206544,0.002014011142512443,0.010555791854858398,0.0006375911480534968,0.8,200,3,0.03,1.0,"{'clf__subsample': 0.8, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 1.0}",0.5333333333333333,0.5657894736842105,0.6308724832214765,0.5957867017774852,0.568561872909699,0.5788687729852409,0.03268448780880453,2,0.4426002766251729,0.4629878869448183,0.5273492286115007,0.489851150202977,0.4735376044568245,0.4792652293682587,0.028517394783856922,3,0.3448275862068966,0.35537190082644626,0.41409691629955947,0.3778705636743215,0.37037037037037035,0.37250746747551877,0.02376053749304411,24,0.6177606177606177,0.6640926640926641,0.7258687258687259,0.6961538461538461,0.6563706563706564,0.672049302049302,0.03669863399754448,2,0.7123483226266952,0.715203426124197,0.7594575303354747,0.7309064953604568,0.73,0.7295831548893648,0.01672255566966949,27
0.04946708679199219,0.002286642764166118,0.010052776336669922,0.0004893515542644218,1.0,100,3,0.1,1.0,"{'clf__subsample': 1.0, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.1, 'clf__colsample_bytree': 1.0}",0.5480833893745797,0.5644622578490314,0.6287625418060201,0.5837730870712401,0.5648395721925134,0.5779841696586769,0.02779076769676116,3,0.4591549295774648,0.46944444444444444,0.5236768802228412,0.48097826086956524,0.47009735744089015,0.4806703745110411,0.022584857290071318,2,0.3614190687361419,0.3665943600867679,0.4095860566448802,0.37184873949579833,0.3673913043478261,0.37536790586228286,0.01742663311866444,17,0.6293436293436293,0.6525096525096525,0.7258687258687259,0.6807692307692308,0.6525096525096525,0.6682001782001782,0.03312358390819032,3,0.7259100642398287,0.7273376159885796,0.7558886509635975,0.7273376159885796,0.7278571428571429,0.7328662180075456,0.011529459734841326,26
0.06503586769104004,0.002179337073682778,0.010269641876220703,0.0006437009698817764,0.8,100,4,0.05,0.8,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 4, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.8}",0.5319148936170213,0.5687047994740303,0.6338028169014085,0.5518169582772544,0.565974547890154,0.5704428032319737,0.03426017867620797,4,0.4401650618982118,0.4650537634408602,0.5294117647058824,0.46458923512747874,0.4720670391061452,0.4742573728557157,0.029621848295178187,4,0.3418803418803419,0.35670103092783506,0.4153846153846154,0.36771300448430494,0.36980306345733044,0.3702964112268855,0.024625884346239642,27,0.6177606177606177,0.667953667953668,0.7297297297297297,0.6307692307692307,0.6525096525096525,0.6597445797445797,0.03903813118446436,4,0.7094932191291934,0.7159172019985724,0.7601713062098501,0.7301927194860813,0.73,0.7291548893647394,0.017467839365599813,28
0.11427149772644044,0.0024280742013700796,0.010324478149414062,0.0005157873503696822,1.0,200,4,0.03,0.8,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 4, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.527369826435247,0.5525965379494008,0.6224899598393574,0.5548128342245989,0.565974547890154,0.5646487412677516,0.0315565603078847,5,0.43828016643550627,0.4579310344827586,0.5188284518828452,0.46368715083798884,0.4720670391061452,0.4701587685490489,0.02675826661515532,7,0.341991341991342,0.3562231759656652,0.40611353711790393,0.36403508771929827,0.36980306345733044,0.36763324125030794,0.021382631244574634,30,0.61003861003861,0.640926640926641,0.7181467181467182,0.6384615384615384,0.6525096525096525,0.652016632016632,0.03589516444767976,5,0.7109207708779444,0.7194860813704497,0.7537473233404711,0.7259100642398287,0.73,0.7280128479657388,0.01439082029047386,30
0.1517551898956299,0.011448560174771544,0.010370874404907226,0.0002829019684850686,1.0,200,5,0.03,0.8,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 5, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.5193482688391039,0.5510480054090602,0.6012228260869565,0.55858310626703,0.5597014925373134,0.5579807398278929,0.0261294182119387,6,0.4396551724137931,0.46438746438746437,0.5093525179856115,0.47674418604651164,0.4734576757532281,0.47271940331732176,0.022456150979540575,5,0.3501144164759725,0.36794582392776526,0.4059633027522936,0.38317757009345793,0.3767123287671233,0.37678268840332246,0.01833954534574432,14,0.5907335907335908,0.6293436293436293,0.6833976833976834,0.6307692307692307,0.637065637065637,0.6342619542619542,0.029506907610997148,6,0.721627408993576,0.7316202712348323,0.7566024268379729,0.7430406852248393,0.7378571428571429,0.7381495870296727,0.011663018425303318,19
0.0870333194732666,0.0018386012977249845,0.010159587860107422,0.0001780611468477088,1.0,200,3,0.2,1.0,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.2, 'clf__colsample_bytree': 1.0}",0.5286195286195287,0.5495251017639078,0.5813953488372093,0.545822102425876,0.5635245901639344,0.5537773343620913,0.01773158823243392,7,0.4435028248587571,0.4648493543758967,0.49635036496350365,0.4602272727272727,0.48034934497816595,0.4690558323807192,0.018006271417916272,8,0.34966592427616927,0.3698630136986301,0.39906103286384975,0.36486486486486486,0.3855140186915888,0.37379377087902055,0.017047744327678922,20,0.6061776061776062,0.6254826254826255,0.6563706563706564,0.6230769230769231,0.637065637065637,0.6296346896346896,0.016616314875987515,7,0.7187723054960742,0.7337615988579586,0.7537473233404711,0.7287651677373305,0.745,0.7360092790863668,0.012248377449329884,22
0.21379508972167968,0.0042207002143483194,0.010643911361694337,0.0005172293647828042,0.8,300,5,0.03,0.8,"{'clf__subsample': 0.8, 'clf__n_estimators': 300, 'clf__max_depth': 5, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.517358747447243,0.5589638718473074,0.6079234972677595,0.5403556771545828,0.5391483516483516,0.5527500290730489,0.03057414541084464,8,0.4393063583815029,0.4753623188405797,0.5181950509461426,0.4633431085043988,0.46244477172312226,0.47173032167914924,0.02600016403020306,6,0.3510392609699769,0.3805104408352668,0.4158878504672897,0.3744075829383886,0.3738095238095238,0.3791309318040892,0.02094155434815713,10,0.5868725868725869,0.6332046332046332,0.6872586872586872,0.6076923076923076,0.6061776061776062,0.6242411642411642,0.034779647326172315,9,0.7230549607423269,0.7416131334760885,0.7637401855817273,0.7387580299785867,0.7392857142857143,0.7412904048128888,0.013015836025555194,13
0.15061264038085936,0.0043782836167533465,0.010757541656494141,0.0004804746787553593,1.0,200,5,0.03,1.0,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 5, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 1.0}",0.5108254397834912,0.540448674371176,0.6030997304582211,0.5513698630136986,0.5510204081632653,0.5513528231579705,0.029796719514646876,9,0.43081312410841655,0.45821325648414984,0.5063649222065064,0.47352941176470587,0.4675324675324675,0.46729063641924934,0.02440814757721586,10,0.3416289592760181,0.36551724137931035,0.39955357142857145,0.38333333333333336,0.37327188940092165,0.372660998963631,0.019243196831110455,22,0.583011583011583,0.6138996138996139,0.6911196911196911,0.6192307692307693,0.6254826254826255,0.6265488565488566,0.0354389092792502,8,0.715203426124197,0.7316202712348323,0.7508922198429693,0.7444682369735903,0.7364285714285714,0.735722545120832,0.012206289573329792,24
0.10095200538635254,0.0038388823705231556,0.010400533676147461,0.00033752348253654463,0.8,100,6,0.03,0.8,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 6, 'clf__learning_rate': 0.03, 'clf__colsample_bytree': 0.8}",0.5081855388813097,0.5479918311776719,0.5940934065934066,0.5441478439425051,0.5360824742268041,0.5461002189643395,0.027743879322168576,10,0.432510885341074,0.4653179190751445,0.5095729013254786,0.4669603524229075,0.46017699115044247,0.4669078098630094,0.024703412234134626,11,0.34651162790697676,0.371824480369515,0.4119047619047619,0.37767220902612825,0.3723150357995227,0.3760456230013809,0.0209404671257037,16,0.5752895752895753,0.6216216216216216,0.667953667953668,0.6115384615384616,0.6023166023166023,0.6157439857439857,0.030314807948292256,10,0.7209136331192005,0.7359029264810849,0.7623126338329764,0.7408993576017131,0.7385714285714285,0.7397199959212808,0.013276947613771403,16
