Model,Mode,test_f1,test_f2,test_recall,test_precision,test_accuracy
Logistic_Regression,full_features,0.9982046678635548,0.9992810927390366,1.0,0.996415770609319,0.9993333333333333
Random_Forest,full_features,0.983957219251337,0.989247311827957,0.9928057553956835,0.9752650176678446,0.994
XGBoost,full_features,0.992831541218638,0.9949712643678161,0.9964028776978417,0.9892857142857143,0.9973333333333333
Logistic_Regression,safe_features,0.4416586306653809,0.6119722073757349,0.8237410071942446,0.30171277997364954,0.614
Random_Forest,safe_features,0.43010752688172044,0.6153846153846154,0.8633093525179856,0.2863961813842482,0.576
XGBoost,safe_features,0.451063829787234,0.5975197294250282,0.762589928057554,0.3202416918429003,0.656
